id,question,answer,answer_type
LMT/2013/page_74.pdf-1,what was the average number of weighted average common shares outstanding for diluted computations from 2011 to 2013,331.6,numeric
UNP/2015/page_24.pdf-1,what was the ratio of the free cash flow to the cash provided by operating activities in 2015,0.07,numeric
ADBE/2018/page_86.pdf-1,what is the percentage change in total gross amount of unrecognized tax benefits from 2017 to 2018?,0.134,numeric
AMAT/2014/page_18.pdf-2,"what are the total sales reported in 2012 , ( in billion ) ?",8.6,numeric
AMT/2008/page_32.pdf-2,"on february 13 , 2009 what was the market capitalization",11456267982,numeric
HOLX/2010/page_124.pdf-1,what percentage of the total estimated purchase price was cash?,0.34,numeric
BLK/2012/page_37.pdf-2,what is the long-term retail/hnw in emea as a percentage of the total long-term retail/hnw?,0.193,numeric
MRO/2015/page_18.pdf-3,"what was total net undeveloped acres expiring for the three year period , in thousands?",5808,numeric
AON/2009/page_46.pdf-2,what is the lowest segment operating income?,846,numeric
PNC/2009/page_46.pdf-1,"if there were 50 facilities being rated in 2009 , how many were bbb/baa?",1,numeric
RSG/2017/page_138.pdf-1,in 2017 what was the debt to equity based on the 2017 actual asset allocation,2.33,numeric
PNC/2011/page_78.pdf-3,"between december 31 , 2011 and december 31 , 2010 , what was the change in the unpaid principal balance outstanding of loans sold as a participant in these programs in billions?",0.2,numeric
JPM/2008/page_85.pdf-4,"assuming a 5% ( 5 % ) rate of return , what would the earnings be ( in millions ) on 2008 total adjusted average assets?",98345,numeric
VRTX/2003/page_71.pdf-1,what percent of the total common stock plans are related to the vertex purchase plan?,0.011,numeric
ETR/2011/page_341.pdf-3,in 2010 what was the net change in net revenue in millions,18.6,numeric
EW/2017/page_82.pdf-2,what percentage of the total purchase price net of cash acquired is ipr&d ?,0.29,numeric
JPM/2009/page_133.pdf-2,"if there were a 100bp rise in rates , how much more would the impact be on earnings in 2009 vs . 2008?\\n",1226,numeric
AAPL/2004/page_36.pdf-2,what was the gross margin decline in fiscal 2004 from 2003?,0.2,numeric
GS/2013/page_152.pdf-2,what was the change in millions between 2012 and 2013 in currency hedges?,383,numeric
C/2008/page_102.pdf-2,what was the change in billions in total capital ( tier 1 and tier 2 ) from 2007 to 2008?,-13.2,numeric
JPM/2018/page_110.pdf-2,what was the net change in ending available for sale investment securities from 2017 to 2018?,28434,numeric
ETR/2008/page_377.pdf-2,"what is the net change in net revenue for entergy texas , inc . during 2007?",39,numeric
CDNS/2006/page_30.pdf-2,what is the rate of return of an investment in s&p500 inc from 2001 to 2005?,0.112,numeric
UA/2015/page_71.pdf-1,what was the profit margin in 2015,0.058,numeric
RSG/2015/page_126.pdf-2,"during 2013 , what was the ratio of the accrued interest $ 1.2 million to the recognized a interest liability interest of $ 17.0 million .",14.2,numeric
PNC/2009/page_41.pdf-3,in 2009 what was the ratio of the commercial mortgages at fair value to lower of cost or market \\n,4.18,numeric
V/2008/page_17.pdf-1,Which largest retail electronic payments network?,visa is the largest retail electronic payments network in the world,textual
DVN/2007/page_58.pdf-2,What actions were implemented in january 2007?,"In January 2007, we announced our intent to divest our west african oil and gas assets and terminate our operations in west africa , including equatorial guinea , cote d 2019ivoire , gabon and other countries in the region",textual
PNC/2013/page_207.pdf-1,What do derivatives represent?,derivatives represent contracts between parties that usually require little or no initial net investment and result in one party delivering cash or another type of asset to the other party based on a notional amount and an underlying as specified in the contract,textual
PKG/2009/page_65.pdf-4,What is the company’s assessment regarding the potential financial impact of its ongoing legal actions?,"The company believes that it is not reasonably possible that the resolution of its legal actions, individually or in the aggregate, will have a material adverse effect on its financial position, results of operations, or cash flows.",textual
LMT/2013/page_74.pdf-4,What was the primary purpose of the restructuring plan committed to in November 2013?,"The restructuring plan was intended to close and consolidate certain facilities, reduce the workforce, better align the organization and cost structure, and improve the affordability of products and services in response to declining U.S. government spending and a changing competitive and economic landscape.",textual
STT/2011/page_83.pdf-1,How does the company record the credit and non-credit components of other-than-temporary impairment?,"When other-than-temporary impairment is identified, the credit component is recorded in the consolidated statement of income, while the non-credit component is recorded in other comprehensive income, provided the company does not intend to sell the security.",textual
AOS/2004/page_11.pdf-2,How is the new facility different from the old facility?,"The new facility differs from the old facility in that it replaced the prior $250 million credit facility, has a later expiration date (June 10, 2009), and is specifically used to back up commercial paper and credit line borrowings, whereas the old facility expired earlier and was terminated in June 2004.",textual
MSI/2006/page_61.pdf-3,"What was the company’s compliance status with respect to the 5-year credit facility as of December 31, 2006?","The company was in compliance with the terms of the 5-year credit facility as of December 31, 2006.",textual
ABMD/2006/page_75.pdf-1,has the company ever incurred any material costs to defend lawsuits or settle patent infringement claims related to sales transactions ?,"No, the company has never incurred any material costs to defend lawsuits or settle patent infringement claims related to sales transactions ",textual
AMAT/2013/page_18.pdf-2,What steps does Applied take to reduce the risks of manufacturing and service interruptions?,"Applied seeks to reduce manufacturing and service interruption risks by selecting and qualifying alternate suppliers for key parts, monitoring the financial condition of key suppliers, maintaining appropriate inventories of key parts, qualifying new parts on a timely basis, and locating certain manufacturing operations close to suppliers and customers.",textual
DVN/2014/page_85.pdf-1,DVN/2014/page_85.pdf-1,"Devon wrote off its remaining Canadian goodwill in 2014 because the implied fair value of the goodwill was determined to be zero, largely due to a significant decline in benchmark oil prices following OPEC’s decision not to reduce production targets.",textual
SPGI/2018/page_74.pdf-1,What type of document is referenced for S&P Global in the provided context?,The referenced document is S&P Global’s 2018 annual report.,textual
AMT/2005/page_105.pdf-2,"What tax-related carryforwards did American Tower have available as of December 31, 2005?","As of December 31, 2005, American Tower had net federal operating loss carryforwards of approximately $2.2 billion and state operating loss carryforwards of approximately $2.4 billion available to reduce future taxable income.",textual
ETR/2015/page_131.pdf-1,How are the fair values of Entergy’s long-term debt classified in the fair value hierarchy?,The fair values of Entergy’s long-term debt are classified as Level 2 in the fair value hierarchy and are based on prices derived from benchmark yields and reported trades.,textual
PM/2017/page_38.pdf-3,What portion of Philip Morris’s reduced-risk product net revenues in 2017 came from IQOS devices and accessories?,Approximately $0.9 billion of the reduced-risk product net revenues in 2017 came from IQOS devices and accessories.,textual
HOLX/2015/page_98.pdf-2,What information does the referenced table in the Holx 2015 report provide?,"The table provides the estimated amortization expense for each of the five succeeding fiscal years as of September 26, 2015.",textual
ETR/2017/page_114.pdf-2,What does the table referenced in the context report?,The table reports payments (receipts) measured in millions.,textual
AES/2016/page_191.pdf-3,What information is reconciled in the AES 2014 notes to consolidated financial statements?,The notes reconcile the beginning and ending amounts of unrecognized tax benefits for the periods indicated.,textual
ETFC/2007/page_126.pdf-3,Under what condition does dilution occur in diluted earnings per share calculations?,Dilution occurs when the average market price of the company’s common stock for the reporting period is above $21.816.,textual
MAS/2012/page_70.pdf-1,What business segment is associated with the goodwill amounts shown at December 31?,The goodwill amounts shown at December 31 are associated with the cabinets and related products segment.,textual
AON/2010/page_28.pdf-1,Why could Aon’s revenue growth be impaired according to the risk disclosure?,Revenue growth could be impaired if the company cannot use the internet effectively to deliver its services.,textual
AES/2002/page_46.pdf-4,Where is the company’s common stock traded according to the disclosure?,The company’s common stock is traded on the New York Stock Exchange.,textual
PM/2015/page_85.pdf-1,How does the company expect to meet its liquidity requirements?,"The company expects to meet its liquidity requirements through the commercial paper program, committed credit facilities, and operating cash flows.",textual
ETFC/2014/page_26.pdf-2,What does the performance graph compare for the company’s common stock?,The performance graph compares the cumulative total return of the company’s common stock with the S&P 500 index and the Dow Jones U.S. Financials Index over the specified period.,textual
ZBH/2003/page_40.pdf-1,What operating profit percentage was reported for the Asia Pacific region in the fourth quarter?,The company reported an operating profit of 47.1 percent of net sales for the Asia Pacific region in the fourth quarter.,textual
AAPL/2014/page_38.pdf-3,Why does the company believe it has sufficient liquidity for the next 12 months?,"The company believes it has sufficient liquidity because its existing balances of cash, cash equivalents, and marketable securities can satisfy its working capital and other liquidity needs.",textual
ETR/2003/page_84.pdf-2,How is the fair value of the debt determined according to the notes?,The fair value of the debt is determined using bid prices reported by dealer markets and nationally recognized investment banking firms.,textual
LMT/2012/page_47.pdf-3,What primarily caused the decrease in MST’s net sales in 2011 compared to 2010?,The decrease in net sales was primarily caused by lower volume in certain ship and aviation system programs and training and logistics solutions programs.,textual
MAS/2018/page_35.pdf-3,What factors negatively impacted the company’s gross profit margin in 2018?,"The 2018 gross profit margin was negatively impacted by higher commodity costs, inventory step-up adjustments from the Kichler acquisition, increased expenses such as logistics and salaries, and an unfavorable sales mix.",textual
SYY/2019/page_9.pdf-2,What information does the company estimate regarding its customers?,The company estimates its sales by type of customer for the past three fiscal years.,textual
ETR/2002/page_86.pdf-3,How is the fair value of Entergy’s debt determined according to the notes?,The fair value of the debt is determined using bid prices reported by dealer markets and nationally recognized investment banking firms.,textual
ZBH/2003/page_58.pdf-1,When is an impairment loss recognized for an asset according to the notes?,An impairment loss is recognized when estimated future cash flows related to the asset are less than its carrying amount.,textual
AMT/2010/page_34.pdf-2,What information is presented in the referenced table about the company’s common stock?,The table presents reported quarterly high and low per-share sale prices of the company’s common stock on the New York Stock Exchange.,textual
ETR/2002/page_24.pdf-1,Why did interest charges decrease in 2002 according to management’s discussion?,Interest charges decreased primarily due to lower interest on long-term debt following retirements and reduced other interest expense related to prior reserves.,textual
